,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,corenet,Jupyter Notebook
22,cups,C
23,darwin-libplatform,C
24,darwin-libpthread,C
25,darwin-xnu,C
26,device-management,
27,dnikit,Python
28,eidas,Go
29,example-package-dealer,Swift
30,example-package-deckofplayingcards,Swift
31,example-package-figlet,Swift
32,example-package-fisheryates,Swift
33,example-package-playingcard,Swift
34,FHIRModels,Swift
35,foundationdb,C++
36,fstools,C
37,game-center-tools,Python
38,GCGC,Jupyter Notebook
39,homebrew-apple,Ruby
40,HomeKitADK,C
41,learning-compressible-subspaces,Python
42,learning-subspaces,Python
43,live-caller-id-lookup-example,Swift
44,llvm-monorepo-root,
45,llvm-project-v5,C++
46,llvm-project-v5-split,C++
47,MaterialX,
48,ml-4m,Python
49,ml-acn-embed,Python
50,ml-act,Python
51,ml-ademamix,Python
52,ml-afv,Python
53,ml-agm,Python
54,ml-aim,Python
55,ml-all-pairs,Python
56,ml-ane-transformers,Python
57,ml-aspanformer,Python
58,ml-aura,Python
59,ml-autofocusformer,Python
60,ml-autofocusformer-segmentation,Python
61,ml-batchquant,Python
62,ml-behavioral-testing-for-mt,
63,ml-bilevel-train-dist,Python
64,ml-calibration,Jupyter Notebook
65,ml-capsules-inverted-attention-routing,Python
66,ml-cifar-10-faster,Python
67,ml-code-switched-speech-translation,Python
68,ml-codeswitching-translations,
69,ml-collegial-ensembles,Python
70,ml-compress-and-compare,Python
71,ml-core,Python
72,ml-covid-mobility,R
73,ml-cread,Python
74,ml-cross-entropy,Python
75,ml-cvnets,Python
76,ml-cvpr2019-swd,Python
77,ml-dab,Python
78,ml-data-parameters,Python
79,ml-delphi,
80,ml-depth-pro,Python
81,ml-destseg,Python
82,ml-diffusion-alignment-gflownet,Python
83,ml-direct2.5,Python
84,ml-divide-or-conquer,Python
85,ml-dms-dataset,Python
86,ml-dprecs,Jupyter Notebook
87,ml-dr,Python
88,ml-duet,Python
89,ml-entity-deduction-arena,Python
90,ml-entropy-reconstruction,Python
91,ml-envmapnet,Python
92,ml-equivariant-neural-rendering,Jupyter Notebook
93,ml-facelit,Python
94,ml-famae,Python
95,ml-fastvit,Python
96,ml-fct,Python
97,ml-ferret,Python
98,ml-finerecon,Python
99,ml-flair,Jupyter Notebook
100,ml-gaudi,
101,ml-gendered-translation,Ruby
102,ml-gmpi,Python
103,ml-gsm-symbolic,
104,ml-gsn,Python
105,ml-hd-gist,Python
106,ml-heart-rate-models,Python
107,ml-hierarchical-confusion-matrix,TypeScript
108,ml-hugs,Python
109,ml-hypercloning,Python
110,ml-hypersim,Python
111,ml-interactive-data-augmentation,Svelte
112,ml-interspeech2022-phi_rtn,
113,ml-jointnet,Python
114,ml-key-retrieval-code-tasks,Python
115,ml-keyframer,JavaScript
116,ml-kg-mt,Python
117,ml-kge,Python
118,ml-knowledge-conflicts,Python
119,ml-kpconvx,Python
120,ml-live-pose,
121,ml-llarp,Python
122,ml-lucid-datagen,Python
123,ml-mad-bench,Jupyter Notebook
124,ml-mcf,Python
125,ml-mdm,Python
126,ml-mgie,Python
127,ml-mia-bench,Jupyter Notebook
128,ml-MixupMP,Python
129,ml-mkqa,Python
130,ml-mobileclip,Python
131,ml-mobileone,Swift
132,ml-mofi,Python
133,ml-multiple-futures-prediction,Python
134,ml-mycelium,JavaScript
135,ml-ncg,Python
136,ml-negative-sampling,Python
137,ml-neilf,Python
138,ml-neilfpp,Python
139,ml-neuman,Python
140,ml-no-token-left-behind,Jupyter Notebook
141,ml-np-rasp,Python
142,ml-nvas3d,Python
143,ml-ogen,Python
144,ml-pgdvs,Python
145,ml-planner,Python
146,ml-pointconvformer,Python
147,ml-pointersect,Python
148,ml-probabilistic-attention,Python
149,ml-projunit,Python
150,ml-qrecc,Python
151,ml-quant,Python
152,ml-recurrent-drafter,Python
153,ml-reed,Python
154,ml-rlgrad,Python
155,ml-robust-expert-augmentations,Python
156,ml-rpm-bench,Python
157,ml-sad,Python
158,ml-sampleplan,Python
159,ml-selfcond,Python
160,ml-shuffling-amplification,Python
161,ml-sigma-reparam,Python
162,ml-sigmoid-attention,Python
163,ml-slowfast-llava,Python
164,ml-spatial-librispeech,
165,ml-speech-is-more-than-words,
166,ml-spin,Python
167,ml-stable-diffusion,Python
168,ml-stabledreamer,
169,ml-stuttering-events-dataset,Python
170,ml-superposition-prompting,Python
171,ml-symphony,Svelte
172,ml-tarflow,Python
173,ml-tic-clip,Python
174,ml-toad,Python
175,ml-tract,Python
176,ml-transcript-translation-consistency-ratings,
177,ml-translate-vis,TypeScript
178,ml-tree-dst,Python
179,ml-tune-mode-convbn,Python
180,ml-tweak,Python
181,ml-upscale,Jupyter Notebook
182,ml-uwac,Python
183,ml-veclip,Jupyter Notebook
184,ml-vfi-smiff,Python
185,ml-vfm-kt,
186,ml-vision-transformers-ane,Python
187,music-feed-examples,Java
188,openjdk,Java
189,password-manager-resources,JavaScript
190,pfl-research,Jupyter Notebook
191,pkl,Java
192,pkl-evolution,
193,pkl-go,Go
194,pkl-go-examples,Go
195,pkl-intellij,Kotlin
196,pkl-jvm-examples,Groovy
197,pkl-k8s,Pkl
198,pkl-k8s-examples,
199,pkl-lang.org,JavaScript
200,pkl-lsp,Kotlin
201,pkl-neovim,Scheme
202,pkl-package-docs,Kotlin
203,pkl-pantry,Pkl
204,pkl-project-commons,
205,pkl-spring,Java
206,pkl-swift,Swift
207,pkl-swift-examples,Swift
208,pkl-vscode,TypeScript
209,pkl.tmbundle,
210,pytorch-speech-features,Python
211,rules_pkl,Starlark
212,sample-backyard-birds,Swift
213,sample-cloudkit-coredatasync,Swift
214,sample-cloudkit-encryption,Swift
215,sample-cloudkit-privatedb,Swift
216,sample-cloudkit-privatedb-sync,Swift
217,sample-cloudkit-queries,Swift
218,sample-cloudkit-sharing,Swift
219,sample-cloudkit-sync-engine,Swift
220,sample-cloudkit-tooling,JavaScript
221,sample-cloudkit-zonesharing,Swift
222,sample-food-truck,Swift
223,security-pcc,Swift
224,servicetalk,Java
225,swift-3-api-guidelines-review,Swift
226,swift-algorithms,Swift
227,swift-argument-parser,Swift
228,swift-asn1,Swift
229,swift-async-algorithms,Swift
230,swift-async-dns-resolver,Swift
231,swift-atomics,Swift
232,swift-cassandra-client,Swift
233,swift-certificates,Swift
234,swift-clang,C++
235,swift-clang-tools-extra,C++
236,swift-cluster-membership,Swift
237,swift-cmake-examples,CMake
238,swift-collections,Swift
239,swift-collections-benchmark,Swift
240,swift-compiler-rt,C
241,swift-container-plugin,Swift
242,swift-crypto,Assembly
243,swift-distributed-actors,Swift
244,swift-distributed-tracing,Swift
245,swift-distributed-tracing-baggage-core,Swift
246,swift-distributed-tracing-extras,Swift
247,swift-embedded-examples,Swift
248,swift-evolution-staging,Swift
249,swift-for-wasm-examples,Swift
250,swift-getting-started-cli,Swift
251,swift-getting-started-package-library,Swift
252,swift-homomorphic-encryption,Swift
253,swift-homomorphic-encryption-protobuf,
254,swift-http-structured-headers,Swift
255,swift-http-types,Swift
256,swift-internals,HTML
257,swift-issues,
258,swift-libcxx,C++
259,swift-llbuild2,Swift
260,swift-lldb,C++
261,swift-llvm,LLVM
262,swift-log,Swift
263,swift-matter-examples,Swift
264,swift-metrics,Swift
265,swift-metrics-extras,Swift
266,swift-migration-guide,Markdown
267,swift-mmio,Swift
268,swift-nio,Swift
269,swift-nio-examples,Swift
270,swift-nio-extras,Swift
271,swift-nio-http2,Swift
272,swift-nio-imap,Swift
273,swift-nio-nghttp2-support,Swift
274,swift-nio-oblivious-http,Swift
275,swift-nio-ssh,Swift
276,swift-nio-ssl,C++
277,swift-nio-ssl-support,Swift
278,swift-nio-transport-services,Swift
279,swift-nio-zlib-support,Swift
280,swift-numerics,Swift
281,swift-openapi-generator,Swift
282,swift-openapi-runtime,Swift
283,swift-openapi-urlsession,Swift
284,swift-playdate-examples,Swift
285,swift-protobuf,Swift
286,swift-protobuf-plugin,
287,swift-protobuf-test-conformance,
288,swift-sample-distributed-actors-transport,Swift
289,swift-service-context,Swift
290,swift-service-discovery,Swift
291,swift-standard-library-preview,Swift
292,swift-statsd-client,Swift
293,swift-string-processing-benchmarks,Swift
294,swift-system,Swift
295,swift-tools-support-async,Swift
296,swift-xcode-playground-support,Swift
297,swiftpm-on-llbuild2,Swift
298,tensor-visualizer,Svelte
299,tensorflow_macos,Shell
300,ToolSandbox,Python
301,tree-sitter-pkl,C
302,turicreate,C++
303,unityplugins,C#
304,VideoFlashingReduction,Mathematica
305,vqg-multimodal-assistant,Python
